Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
AD: 58 ED: 052,DEM ABS Ballot Style 55,2021P3V1_ABS,Nikki Lucas,Charles Barron,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 58 ED: 052,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 58 ED: 052,DEM ABS Ballot Style 55,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,Charles Barron,skipped,skipped,1,5
AD: 58 ED: 052,DEM ABS Ballot Style 55,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,Charles Barron,skipped,1,5
AD: 58 ED: 052,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 58 ED: 052,DEM ABS Ballot Style 55,2021P3V1_ABS,Nikki Lucas,Charles Barron,skipped,skipped,skipped,1,5
AD: 58 ED: 052,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,skipped,1,5
AD: 58 ED: 052,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Gena M. Watson,Nikki Lucas,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 089,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 089,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Charles Barron,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 089,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 089,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 089,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 089,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 089,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 089,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 089,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Charles Barron,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,skipped,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Wilfredo Florentino,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,Gena M. Watson,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Gena M. Watson,Wilfredo Florentino,Charles Barron,Nikki Lucas,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 074,DEM ABS Ballot Style 57,2021P3V1_ABS,Gena M. Watson,Nikki Lucas,Wilfredo Florentino,Charles Barron,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Gena M. Watson,Nikki Lucas,Charles Barron,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,Charles Barron,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Gena M. Watson,Nikki Lucas,Charles Barron,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,writein,Charles Barron,Gena M. Watson,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,writein,Charles Barron,Gena M. Watson,1,5
AD: 60 ED: 088,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,Charles Barron,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Wilfredo Florentino,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Gena M. Watson,Nikki Lucas,Charles Barron,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,Charles Barron,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Charles Barron,Gena M. Watson,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,Charles Barron,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 60 ED: 075,DEM ABS Ballot Style 57,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,Charles Barron,skipped,1,5
AD: 60 ED: 087,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 087,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 087,DEM ABS Ballot Style 46,2021P3V1_ABS,Wilfredo Florentino,Charles Barron,skipped,skipped,skipped,1,5
AD: 60 ED: 087,DEM ABS Ballot Style 46,2021P3V1_ABS,Wilfredo Florentino,Charles Barron,skipped,skipped,skipped,1,5
AD: 60 ED: 050,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 050,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 050,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 050,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 050,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 050,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,Gena M. Watson,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,Charles Barron,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,writein,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,Gena M. Watson,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Charles Barron,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,Charles Barron,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,skipped,skipped,1,5
AD: 60 ED: 078,DEM ABS Ballot Style 57,2021P3V1_ABS,Nikki Lucas,Charles Barron,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,Gena M. Watson,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,Charles Barron,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Wilfredo Florentino,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,writein,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Gena M. Watson,Nikki Lucas,Charles Barron,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Charles Barron,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,Charles Barron,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,Charles Barron,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Charles Barron,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 082,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,skipped,1,5
AD: 60 ED: 072,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 072,DEM ABS Ballot Style 46,2021P3V1_ABS,Gena M. Watson,Wilfredo Florentino,Charles Barron,Nikki Lucas,skipped,1,5
AD: 60 ED: 072,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 072,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,Charles Barron,skipped,1,5
AD: 60 ED: 072,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,Charles Barron,Gena M. Watson,skipped,1,5
AD: 60 ED: 072,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Gena M. Watson,Wilfredo Florentino,Nikki Lucas,skipped,1,5
AD: 60 ED: 072,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Gena M. Watson,Nikki Lucas,skipped,1,5
AD: 60 ED: 072,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 043,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Gena M. Watson,Wilfredo Florentino,Nikki Lucas,skipped,1,5
AD: 60 ED: 043,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,skipped,skipped,skipped,1,5
AD: 60 ED: 043,DEM ABS Ballot Style 46,2021P3V1_ABS,Nikki Lucas,Gena M. Watson,Charles Barron,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 043,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 60 ED: 043,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 043,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 043,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,skipped,skipped,1,5
AD: 60 ED: 043,DEM ABS Ballot Style 46,2021P3V1_ABS,Charles Barron,Nikki Lucas,Wilfredo Florentino,Gena M. Watson,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,writein,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,Wilfredo Florentino,Charles Barron,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,Gena M. Watson,Charles Barron,Nikki Lucas,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,skipped,skipped,skipped,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 60 ED: 063,DEM ABS Ballot Style 39,2021P3V1_ABS,Nikki Lucas,writein,Charles Barron,Gena M. Watson,Wilfredo Florentino,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Nikki Lucas,Wilfredo Florentino,skipped,skipped,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,writein,skipped,skipped,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Wilfredo Florentino,Charles Barron,Nikki Lucas,skipped,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Nikki Lucas,Gena M. Watson,Wilfredo Florentino,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Gena M. Watson,Wilfredo Florentino,Nikki Lucas,Charles Barron,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Wilfredo Florentino,Charles Barron,skipped,skipped,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,Wilfredo Florentino,Nikki Lucas,Gena M. Watson,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
AD: 58 ED: 062,DEM ABS Ballot Style 55,2021P3V1_ABS,Charles Barron,skipped,skipped,skipped,skipped,1,5
